EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-20.06135,4.69363,7.52763,7.95475,1.07684
-16.05317,3.51642,1.15017,3.99207,-2.56841
-12.68651,3.21844,2.39794,10.32030,4.36669
-14.04909,11.18032,10.72576,28.20607,16.95674
-36.19238,4.18942,-0.85836,10.61288,0.71266
-29.17831,11.34317,3.48777,4.78972,2.67762
-22.65666,7.69409,2.42415,7.30473,2.84783
-9.96474,18.52436,9.66169,20.29339,11.61186
2.92216,30.25228,24.91975,27.75130,26.30419
-17.78922,-0.26350,8.97232,3.36204,7.33903
-8.69608,-0.54555,9.75247,13.47404,13.10843
-1.58155,5.09666,7.18179,17.13247,18.02913
-7.58564,0.04904,-3.29787,5.48864,11.38452
2.99400,8.63869,6.18849,16.87020,19.28091
-6.96906,5.55941,9.03137,7.38714,7.16013
-11.18885,17.67177,26.68871,8.46587,5.42360
-22.70086,15.97542,27.33854,3.75044,-4.10019
-33.34115,2.84513,6.87461,-17.72078,-18.66921
-24.44254,6.63715,1.99368,-17.51684,-13.11135
-38.23657,0.01001,-9.43320,-26.16290,-24.72357
-30.09185,13.21272,-0.37147,-20.16828,-14.05555
-22.15837,10.92754,-0.16044,-19.60039,-9.57311
-30.32690,-0.71439,-13.54635,-25.64147,-22.77699
-3.29199,26.97866,9.27424,8.89336,3.05731
9.22789,25.88524,16.90947,18.03562,14.26672
6.54236,10.48852,9.06960,5.34185,10.12249
0.49171,7.98875,1.34738,-3.41465,2.80937
-1.56875,14.51054,0.33957,-4.42537,-0.77845
12.54649,28.07874,16.15482,15.26572,18.36001
-3.89741,7.57820,1.46540,4.98123,7.80959
-3.38290,7.01745,-6.51515,2.00007,5.35272
7.37875,16.58354,-3.08921,6.13863,12.02135
-10.23496,-1.48789,-16.00363,-12.30068,-7.59288
0.16572,7.07804,-5.46431,2.07899,-1.69447
6.77064,15.53408,-1.78588,8.05383,0.48790
5.82178,24.54139,0.28610,4.64067,-1.14761
4.97845,27.41218,3.39915,9.12538,0.79772
-8.71164,6.67438,-11.69811,-2.97298,-9.18957
2.15083,14.19094,-1.91657,3.73171,5.12124
-3.20743,12.24910,-2.05258,-6.39966,-4.09858
-13.79104,2.51548,-11.70279,-22.13768,-21.39194
-8.86334,6.70670,-4.03877,-13.48563,-10.70490
-15.20024,1.62998,-1.69788,-14.55507,-13.51852
-2.77963,9.07425,8.95215,-7.25245,-12.02292
-2.97673,-0.78438,1.78688,-17.09763,-19.42064
-4.94966,-4.94159,-5.00130,-24.76339,-19.17891
2.30008,7.07367,0.09119,-19.37792,-10.71199
-14.41210,-4.13523,-13.31076,-35.11887,-28.30901
-1.26521,9.10491,1.52468,-9.85140,-14.23105
7.17797,12.07171,8.65635,11.58051,-4.00233
4.95222,0.32449,-4.37668,0.80199,-6.05267
30.95831,10.92036,1.34696,8.58083,18.46256
24.48775,-2.65426,-16.56161,-2.52576,10.96802
20.05978,-2.83275,-24.54910,-3.98237,12.07353
38.14888,8.15159,-11.79490,3.00641,38.32364
45.12490,2.65344,-8.78392,-3.99809,45.57881
35.77630,3.34612,-11.40369,1.41416,40.68368
9.98854,-0.16549,-26.11539,-5.65837,23.99964
23.96778,18.41985,-11.13600,2.90698,31.29853
27.68856,20.91386,-0.22255,4.48094,23.06526
-4.47461,0.22176,-15.29125,-18.81088,-7.87280
-1.81245,1.95443,-6.94113,-9.43714,-0.26187
-5.02561,-12.53730,-6.52060,-9.90015,-4.51392
-2.40238,-4.96730,4.08419,-10.17197,-1.25211
9.31936,11.01318,15.90850,0.01538,12.05473
-1.62529,-3.48423,0.51433,-6.53255,-2.88740
4.70105,6.82233,5.20204,1.24619,2.34085
1.47438,8.74208,2.11491,-6.57320,0.60546
0.34085,6.86041,1.26205,-3.36707,-1.46391
12.98491,16.22666,13.73637,15.56607,9.57492
11.76186,10.67610,6.43486,3.28638,3.81218
18.42116,15.28185,11.07911,5.51749,9.26252
7.26860,4.96004,7.46342,-0.15422,-0.05290
5.35328,-1.73914,-1.86162,-13.86370,-5.23719
24.72029,6.71753,3.96897,-7.44771,12.75278
30.35163,6.79357,11.78013,3.08502,22.92978
50.18142,29.32359,34.30224,28.61323,47.93459
40.68412,26.09423,27.72489,13.82514,42.35261
18.00433,7.95820,12.99310,-10.26172,21.84728
22.62036,12.77934,20.59031,5.27503,25.37528
10.78157,0.60439,7.58990,1.87253,9.28348
10.17849,-1.55667,7.66974,5.84948,5.95474
3.86706,-5.21476,8.42591,4.42854,-0.15324
-5.83311,-7.14235,-0.75260,-13.67486,-14.13159
3.76240,1.48950,2.79618,-12.70643,-10.62190
-8.41593,-14.92848,-3.23166,-14.41230,-20.49676
7.22800,0.38294,12.57735,7.47221,-2.55411
25.36204,18.96366,18.46801,13.35873,9.79822
9.25302,4.92694,0.14890,-8.72757,-7.03738
10.42916,4.22956,5.99477,3.58984,2.42021
8.62937,0.63592,2.03129,4.91960,0.34463
14.31133,10.14726,0.73640,5.63906,-1.90812
10.07542,7.25032,1.32678,7.65070,-5.20621
1.19643,-3.33262,3.71070,1.92072,-8.81312
35.84161,25.37150,35.73106,32.67720,26.77064
37.24612,21.73311,32.22666,37.41045,25.21557
10.98957,1.41635,10.76146,15.45122,-4.30980
5.18558,-0.94340,10.90225,6.84795,-10.14388
4.65842,-7.52196,8.70772,-0.32813,-11.56133
8.02261,-3.11248,10.23010,3.73780,-8.02703
-4.78841,-6.81464,0.61124,-2.50902,-17.40659
3.90150,0.84427,5.07249,9.90959,-7.39663
13.71037,5.03277,12.03547,22.54416,2.71485
-1.81159,-10.04311,-3.19036,4.81617,-15.33924
15.67253,0.97423,3.56870,15.47460,-2.08919
13.15084,-4.46283,-0.32855,8.66382,-2.41577
-6.75103,-8.73955,-7.03286,-9.34888,-18.18284
-8.62414,5.18847,-2.50268,-4.91724,-20.65717
-19.14723,-0.39062,-13.55686,-14.97801,-31.45104
-3.62840,13.84230,3.33762,2.90158,-11.61659
-1.62669,9.83061,10.76167,14.02435,-6.54217
-13.11968,-4.50604,0.32760,2.76103,-17.75984
1.61590,18.01552,10.06011,12.45040,-1.20783
-2.15318,21.32096,2.40346,6.91883,-4.23060
-7.75153,13.00250,-7.58673,1.22461,-9.36352
-14.15857,2.36429,-17.69072,-3.95086,-13.10983
-12.20145,-0.72001,-20.96851,-4.44994,-11.47521
-7.04837,-2.26831,-19.12065,-7.09341,-9.40868
-32.28132,-24.24364,-38.23338,-39.17909,-36.42012
-12.12631,-0.67676,-15.87515,-17.77338,-17.95142
16.00633,20.55420,10.94251,16.11454,5.71316
-1.87144,1.13849,-3.16895,-0.13800,-16.90730
-6.18503,-1.37710,-7.20719,-2.70381,-20.37148
-9.09978,-8.10150,-14.99524,-3.90151,-20.13208
1.09849,-1.50375,-10.48027,4.89113,-7.44992
11.66144,4.36282,-3.40718,13.65640,7.46834
4.92614,-5.50268,-11.92888,1.74714,3.31842
8.57696,5.03845,-7.20962,4.32945,5.60629
-5.16624,0.25887,-15.83297,-2.76226,-11.06865
-0.25520,2.41353,-10.08377,5.00720,-9.57170
14.71455,8.63805,3.59757,15.37763,1.00754
5.60741,-1.62642,-6.80647,-2.61256,-11.17745
10.46553,4.72663,1.29234,1.38056,-1.52391
-5.56233,-10.23962,1.93619,-5.47078,-11.04081
-13.80955,-16.32316,-1.40670,-9.41319,-21.07258
1.75901,-3.21186,0.07277,6.14116,-7.70469
-6.36007,-11.29589,-14.54960,0.64857,-14.45846
-6.34869,-5.60146,-13.51518,5.19174,-15.21520
-11.22662,-9.67169,-19.25388,1.15747,-20.44468
-8.70965,-11.12313,-17.45363,-0.60588,-13.19589
1.45642,1.57637,2.92206,10.21685,2.91986
-12.38912,-2.61178,6.77776,1.16528,-9.46940
-2.83613,6.99508,21.39852,12.14223,0.79354
-2.34567,-1.77885,17.30391,11.68714,0.19606
-14.15680,-12.68467,2.05628,0.05001,-17.22176
-4.61959,3.08080,10.11601,11.34377,-9.65121
